"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft .NET Toolset 10.0.101 (x64)","40.10.18029","Microsoft Corporation","20251222"
"Microsoft .NET Toolset 10.0.103 (x64)","40.10.52243","Microsoft Corporation","20260211"
"Microsoft ASP.NET Core Runtime - 10.0.1 (x64)","80.4.44025","Microsoft Corporation","20251222"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x86)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft ASP.NET Core Targeting Pack - 10.0.1 (x64)","80.4.44025","Microsoft Corporation","20251222"
"Microsoft ASP.NET Core Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft ASP.NET Core Targeting Pack - 10.0.3 (x86)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft Edge WebView2 Runtime","146.0.3856.13","Microsoft Corporation","20260220"
"Microsoft GameInput","3.2.138.0","Microsoft Corporation","20260221"
"Microsoft Office Home and Business 2021 - en-us","16.0.19628.20214","Microsoft Corporation",
"Microsoft OneDrive","26.022.0203.0006","Microsoft Corporation",
"Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260118"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.28902","Microsoft","20251230"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","20251207"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260129"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260129"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251206"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251206"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251206"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251206"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251206"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251206"
"Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719","14.50.35719.0","Microsoft Corporation",
"Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719","14.50.35719.0","Microsoft Corporation",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60922","Microsoft Corporation","20260129"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60917","Microsoft Corporation",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - CHS","10.0.50903","Microsoft Corporation","20260127"
