
DisplayName                                                                                   DisplayVersion         Publi
Microsoft OneDrive                                                                            26.022.0203.0006       Micr…
Microsoft System CLR Types for SQL Server 2019                                                15.0.2000.5            Micr…
Microsoft Teams Meeting Add-in for Microsoft Office                                           1.25.28902             Micr…
Microsoft TestPlatform SDK Local Feed                                                         17.10.0.9037153        Micr…
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                                   10.0.40219             Micr…
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                                   10.0.40219             Micr…
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719                                14.50.35719            Micr…
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.50.35719                                     14.50.35719            Micr…
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719                                   14.50.35719            Micr…
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719                                14.50.35719            Micr…
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.50.35719                                     14.50.35719            Micr…
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719                                   14.50.35719            Micr…
Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719                                  14.50.35719.0          Micr…
Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719                                  14.50.35719.0          Micr…
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                   10.0.60922             Micr…
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                   10.0.60917             Micr…
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - CHS               10.0.50903             Micr…
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)语言包 - 简体中文                  10.0.50903             Micr…
Microsoft Visual Studio Code (User)                                                           1.109.5                Micr…
Microsoft Visual Studio Installer                                                             4.3.2029.11392         Micr…
Microsoft Visual Studio Setup Configuration                                                   4.3.2028.6109          Micr…
Microsoft Visual Studio Setup WMI Provider                                                    4.3.2028.6109          Micr…
Microsoft Windows Desktop Runtime - 10.0.1 (x64)                                              80.4.44025             Micr…
Microsoft Windows Desktop Runtime - 10.0.3 (x64)                                              80.12.47319            Micr…
Microsoft Windows Desktop Runtime - 10.0.3 (x86)                                              80.12.47319            Micr…
Microsoft Windows Desktop Runtime - 6.0.36 (x64)                                              6.0.36.34217           Micr…
Microsoft Windows Desktop Runtime - 6.0.36 (x64)                                              48.144.23186           Micr…
Microsoft Windows Desktop Runtime - 8.0.24 (x64)                                              64.96.47265            Micr…
Microsoft Windows Desktop Runtime - 8.0.24 (x64)                                              8.0.24.35722           Micr…
Microsoft Windows Desktop Targeting Pack - 10.0.1 (x64)                                       80.4.44025             Micr…
Microsoft Windows Desktop Targeting Pack - 10.0.3 (x64)                                       80.12.47319            Micr…
Microsoft Windows Desktop Targeting Pack - 10.0.3 (x86)                                       80.12.47319            Micr…
Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)                                             36.1.2                 Micr…
Microsoft.NET.Sdk.Android.Manifest-10.0.100-rc.2 (x64)                                        32.0.40940             Micr…
Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)                                                 26.0.11017             Micr…
Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)                                                 255.222.10191          Micr…
Microsoft.NET.Sdk.iOS.Manifest-10.0.100-rc.2 (x64)                                            251.104.40928          Micr…
